city,bhk,area,price
bangalore,3.0,1380,7000000.0
bangalore,5.0,1200,28500000.0
bangalore,3.0,1229,6500000.0
bangalore,1.0,550,4000000.0
bangalore,2.0,1050,5500000.0
bangalore,2.0,1020,5500000.0
bangalore,2.0,858,3700000.0
bangalore,3.0,1532,7659999.999999999
bangalore,5.0,5100,32500000.0
bangalore,2.0,1073,6000000.0
bangalore,2.0,996,5500000.0
bangalore,5.0,630,9000000.0
bangalore,2.0,1017,3700000.0
bangalore,2.0,1000,5500000.0
bangalore,2.0,858,3500000.0
bangalore,6.0,2400,50000000.0
bangalore,3.0,1350,7500000.0
bangalore,2.0,800,3500000.0
bangalore,2.0,950,6400000.0
bangalore,5.0,1932,25500000.0
bangalore,3.0,1506,18100000.0
bangalore,2.0,1100,3200000.0
bangalore,2.0,1100,5200000.0
bangalore,3.0,1465,8500000.0
bangalore,2.0,1187,7500000.0
bangalore,3.0,1550,16000000.0
bangalore,3.0,1899,11500000.0
bangalore,3.0,8500,35000000.0
bangalore,3.0,2215,19000000.0
bangalore,2.0,1385,8700000.0
bangalore,2.0,1250,8500000.0
bangalore,4.0,2363,9200000.0
bangalore,3.0,1520,8400000.0
bangalore,2.0,1000,4300000.0
bangalore,2.0,1000,4300000.0
bangalore,2.0,1050,5500000.0
bangalore,3.0,1470,12500000.0
bangalore,3.0,1360,11500000.0
bangalore,2.0,1020,4200000.0
bangalore,2.0,1080,4500000.0
bangalore,3.0,3600,25000000.0
bangalore,2.0,1300,7200000.0
bangalore,4.0,3200,14000000.0
bangalore,3.0,1226,5500000.0
bangalore,3.0,2000,32500000.0
bangalore,2.0,940,3900000.0
bangalore,2.0,1148,9800000.0
bangalore,2.0,900,4500000.0
bangalore,2.0,1240,6200000.0
bangalore,2.0,1180,6000000.0
bangalore,2.0,1160,8000000.0
bangalore,2.0,1243,7500000.0
bangalore,2.0,1060,6000000.0
bangalore,2.0,950,4820000.0
